tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0146984,6.7,126,"Drama,Fantasy,Sport",nm0000602,nm0000226
tt0157583,6.4,119,"Drama,Mystery,Romance",nm0000776,nm0779084
tt0158622,3.7,90,"Comedy,Family,Romance",nm0505152,nm0004692
tt0159273,6.4,106,"Action,Drama,Thriller",nm0601382,nm0000432
tt0159365,7.2,154,"Adventure,Drama,Romance",nm0005237,nm0000179
tt0160009,5.7,117,"Action,Adventure,Crime",nm0240995,nm0000648
tt0160127,5.6,98,"Action,Adventure,Comedy",nm0629334,nm0000139
tt0160184,5.3,96,"Crime,Thriller",nm0318947,nm0000230
tt0160399,6.2,95,"Drama,Mystery,Sci-Fi",nm0001219,nm0111274
tt0160797,6.4,128,"Drama,Thriller,War",nm0001243,nm0000169
tt0161081,6.6,130,"Drama,Horror,Mystery",nm0000709,nm0000148
tt0162222,7.8,143,"Adventure,Drama,Romance",nm0000709,nm0000158
tt0162346,7.3,111,"Comedy,Drama",nm0959062,nm0000114
tt0162650,6.0,99,"Action,Crime,Thriller",nm0005436,nm0000168
tt0163025,5.9,92,"Action,Adventure,Sci-Fi",nm0002653,nm0000554
tt0163978,6.6,119,"Adventure,Drama,Romance",nm0000965,nm0000138
tt0164052,5.8,112,"Action,Horror,Sci-Fi",nm0000682,nm0000102
tt0164184,6.4,124,"Action,Drama,Thriller",nm0004675,nm0000255
tt0164212,6.4,110,"Crime,Drama,Thriller",nm0394280,nm0000151
tt0164334,6.4,104,"Drama,Thriller",nm0848414,nm0000151
tt0164961,6.4,98,"Action,Crime,Fantasy",nm0685759,nm0000367
tt0165832,7.6,116,"Adventure,Comedy,Drama",nm0301826,nm0005188
tt0165929,6.1,115,"Action,Crime,Thriller",nm0005647,nm0001472
tt0165982,6.7,88,"Adventure,Animation,Comedy","nm1369708,nm0426333",nm0000093
tt0166813,7.2,83,"Adventure,Animation,Drama","nm0038432,nm0177170",nm0000354
tt0166924,7.9,147,"Drama,Mystery,Thriller",nm0000186,nm0915208
tt0167190,6.8,122,"Action,Adventure,Fantasy",nm0868219,nm0000579
tt0167260,9.0,201,"Action,Adventure,Drama",nm0001392,nm0000704
tt0167261,8.8,179,"Action,Adventure,Drama",nm0001392,nm0000704
tt0168629,7.9,140,"Crime,Drama,Musical",nm0001885,nm0001951
tt0168786,7.3,120,"Biography,Drama",nm0000243,nm0000243
tt0169102,8.1,224,"Drama,Musical,Sport",nm0332950,nm0451148
tt0170016,6.3,104,"Comedy,Family,Fantasy",nm0000165,nm0000120
tt0170691,6.9,101,"Drama,War",nm0001708,nm0268199
